Date,Nifty Returns,Nifty Auto,NIFTY ENERGY,Nifty FMCG,Nifty IT,Nifty Media,Nifty Metal,Nifty PSU Bank,Nifty Realty,NIFTY BANK,NIFTY MEDIA,NIFTY CONSUMPTION,NIFTY MNC,NIFTY PSE,NIFTY COMMODITIES,NIFTY SERV SECTOR
2022-10-10,1.458482015352174,0.0034646825,0.26933566,-0.3352154,-0.030318689,0.072630346,0.29583564,0.21547377,-0.2822055,0.18619889,0.106231526,0.44644684,-0.047535844,0.25576448,-0.13082688,-0.5011524
2022-10-11,-0.73110896709811,0.03238193,0.2646517,-0.34680232,-0.0307891,0.0525298,0.29325294,0.21432243,-0.25170916,0.21998845,0.077310264,0.3823146,0.025440715,0.23581518,-0.08196081,-0.506822
2022-10-12,0.6386850355632716,0.02369032,0.21418396,-0.34400806,-0.031622883,0.047433533,0.30742496,0.19277498,-0.19620888,0.16122632,0.060849294,0.2840461,0.09123078,0.24521653,-0.038301755,-0.450214
2022-10-13,-0.899218734967778,0.033800133,0.1760102,-0.33461648,-0.03306034,0.05527959,0.3228354,0.19442362,-0.11590349,0.019601643,0.057636753,0.20059454,0.1412444,0.23920843,-0.00978542,-0.407511
2022-10-14,-0.647178242035988,0.03878206,0.14110813,-0.33135483,-0.032557532,0.06591102,0.3288331,0.19952996,-0.05050998,-0.07688027,0.061773624,0.10821146,0.16972241,0.24725781,0.006650851,-0.49692276
2022-10-17,-0.903485356642861,0.020696675,0.11131136,-0.33737913,-0.03125541,0.07250049,0.3426344,0.21156989,-0.015170852,-0.07214261,0.06656112,-0.033153772,0.1847096,0.2621531,0.025688183,-0.5232235
2022-10-18,-0.09930848331279199,0.0036730953,0.08248887,-0.3556957,-0.03534877,0.07055405,0.3329832,0.22566819,-0.04833688,-0.060553007,0.063197106,-0.18119724,0.18926577,0.23731993,0.026970055,-0.5685071
2022-10-19,-0.2399246491138941,0.0047955755,0.092216834,-0.37266213,-0.039626278,0.062303677,0.31759968,0.23452885,-0.14433691,-0.010602752,0.047499258,-0.30481443,0.18419412,0.21557432,0.0019290969,-0.63428
2022-10-20,-0.02969099669945037,-0.00092190877,0.104876265,-0.3947098,-0.03180968,0.057509392,0.32557374,0.25270718,-0.25474086,0.048051037,0.03597252,-0.37765115,0.16960059,0.21345802,-0.0056452276,-0.61484337
2022-10-21,-0.7810330609135725,0.006991539,0.1379039,-0.41376925,-0.033375517,0.05151005,0.31564385,0.23482692,-0.3762555,0.13971172,0.021620002,-0.4116563,0.14304295,0.19254315,-0.04727639,-0.69478035
2022-10-24,0.4315942991584034,0.006803007,0.15948488,-0.42834002,-0.03197874,0.049699586,0.32505572,0.23084569,-0.443384,0.1670125,0.014796494,-0.40165067,0.1141736,0.21019831,-0.06930345,-0.7333701
2022-10-25,-0.3901053336559743,-0.0073448513,0.18898535,-0.43429267,-0.025234565,0.05053172,0.33700854,0.24260801,-0.48877242,0.08954569,0.013774652,-0.3653268,0.07675554,0.22059041,-0.08486237,-0.6510226
2022-10-27,-0.22671839339393793,-0.01854612,0.21345927,-0.42173803,-0.02472797,0.055077285,0.3574614,0.25109187,-0.46778336,-0.11548972,0.023897864,-0.30065075,0.03476683,0.24261424,-0.068628535,-0.5769972
2022-10-28,-1.137827564199975,-0.002427197,0.25696188,-0.40558448,-0.030212618,0.05709184,0.33455285,0.23392731,-0.4482983,-0.1986856,0.017770074,-0.1835895,-0.06400051,0.204196,-0.094837725,-0.73505473
2022-10-31,-0.6524913401862766,0.009483414,0.29701138,-0.4269027,-0.03689967,0.062455934,0.30777326,0.19754736,-0.4412421,-0.15558642,0.0055245305,-0.032590292,-0.14872272,0.13393636,-0.1485641,-0.87489843
2022-11-01,0.3607877227901176,-0.034497395,0.2936915,-0.42453924,-0.046026833,0.0722171,0.30882987,0.17994492,-0.40912712,-0.0533041,0.0052761445,0.004476465,-0.15092622,0.15077707,-0.19152716,-0.80430025
2022-11-02,0.1929391558579759,-0.021822114,0.2989478,-0.40528256,-0.06091777,0.0861068,0.3068218,0.17563446,-0.38724843,0.0214548,0.011827962,0.12068302,-0.18975507,0.15694807,-0.25172684,-0.7424336
2022-11-03,-0.297530389278682,0.007281855,0.34580693,-0.3872796,-0.069755726,0.10955605,0.25756896,0.16437513,-0.3868525,0.044769876,0.016114365,0.2606868,-0.2439134,0.11490792,-0.35408542,-0.82932913
2022-11-04,-0.40522747093060135,0.016960112,0.38115886,-0.3390295,-0.077572204,0.14025627,0.21303025,0.16128758,-0.40016356,0.04841823,0.039726287,0.36977482,-0.25687385,0.07729982,-0.4748397,-0.8790399
2022-11-07,0.2729096599559726,0.030780528,0.44211078,-0.33657354,-0.06800679,0.19350733,0.13179772,0.14820302,-0.43224666,0.08405097,0.08280094,0.49277222,-0.2478603,0.023027636,-0.66009694,-0.9768509
2022-11-09,0.7065525096038302,-0.059813574,0.42937666,-0.33571836,-0.07280855,0.22341168,0.17287645,0.17433259,-0.41861495,0.12095178,0.17667013,0.48269612,-0.17165859,0.08779528,-0.73071134,-0.7272042
